price,cost,sales,ProfitMargin,inventory,DiscountPercentage,DeliveryDays,category,material,color,location,season,StoreType,brand,revenue
196.3,147.2,12,25,35,28.7,1,Bed,Wood,Brown,Urban,Summer,Online,BrandC,6005.9
378.3,200,14,47.1,196,21,5,Table,Metal,Black,Urban,Summer,Online,BrandC,10833.8
336.9,260.4,48,22.7,23,6.2,1,Chair,Glass,Black,Suburban,Fall,Retail,BrandC,22541
449.3,268.1,21,40.3,187,0.6,6,Chair,Metal,Black,Urban,Fall,Retail,BrandD,3727.1
262.5,206.2,22,21.4,94,14.4,7,Bed,Plastic,Green,Suburban,Summer,Retail,BrandA,6552.2
103.8,86.1,21,17.1,54,15.4,5,Bed,Fabric,Brown,Rural,Summer,Online,BrandA,-3187.7
371,304.8,44,17.8,23,7.2,1,Sofa,Wood,Brown,Suburban,Summer,Retail,BrandC,24841.7
392.4,282.9,30,27.9,151,3.7,6,Table,Fabric,Red,Rural,Fall,Online,BrandA,11483.2
302.6,214.2,39,29.2,181,17.6,5,Sofa,Fabric,White,Suburban,Spring,Online,BrandD,7874.2
396.9,221.2,20,44.3,25,22.9,6,Sofa,Plastic,Blue,Urban,Spring,Retail,BrandA,3347.5
272.2,220.5,24,19,193,29.8,7,Chair,Plastic,Black,Urban,Winter,Online,BrandA,6256.7
285.2,173.6,23,39.1,79,22.8,7,Bed,Plastic,Brown,Suburban,Summer,Online,BrandB,7646
242.4,169.4,7,30.1,165,23.8,2,Chair,Glass,Brown,Rural,Summer,Online,BrandA,-6947.5
61.4,37.7,9,38.6,64,18.5,3,Table,Metal,Red,Rural,Summer,Online,BrandA,7435
98.6,54.6,1,44.7,74,29.6,6,Sofa,Wood,Blue,Suburban,Winter,Online,BrandC,2424
64.1,48.2,26,24.8,178,19.2,3,Table,Plastic,White,Urban,Summer,Online,BrandC,8291.7
336.4,175.5,38,47.8,162,25.8,2,Bed,Wood,White,Rural,Spring,Retail,BrandB,18037.3
191.5,153.1,38,20.1,42,28.4,4,Bed,Wood,Black,Suburban,Summer,Online,BrandD,4714.1
278.9,174.9,44,37.3,28,27.9,5,Desk,Wood,White,Rural,Winter,Retail,BrandB,13131.5
458.4,229.2,22,50,164,11.4,9,Table,Plastic,White,Urban,Fall,Online,BrandA,6052
162.2,114.3,44,29.6,80,2.4,3,Chair,Plastic,Blue,Rural,Fall,Retail,BrandA,4629
234.7,121.7,10,48.1,185,5.2,3,Table,Metal,Blue,Suburban,Spring,Retail,BrandD,10087.6
390,238.1,6,39,53,1.8,6,Sofa,Plastic,Black,Rural,Spring,Retail,BrandD,-1397.1
153,119.7,17,21.7,38,3.2,5,Bed,Plastic,Brown,Rural,Spring,Online,BrandC,3500.4
84.6,44.4,38,47.5,41,5.5,6,Bed,Wood,Red,Urban,Fall,Online,BrandA,-1500.6
180.4,150.8,24,16.4,155,10.2,7,Table,Metal,Black,Urban,Summer,Online,BrandA,608.3
122.6,61.5,10,49.9,28,16.3,3,Table,Fabric,Green,Urban,Winter,Online,BrandA,-1499.9
468.4,280.4,8,40.1,170,21.4,5,Table,Plastic,White,Urban,Winter,Online,BrandA,10182.7
413.7,329.4,21,20.4,130,6.3,8,Sofa,Plastic,Red,Suburban,Summer,Online,BrandA,10705.9
335,209.9,6,37.4,137,20.2,4,Sofa,Fabric,Brown,Rural,Fall,Retail,BrandA,5813.9
442.2,239.1,21,45.9,186,21.1,2,Chair,Wood,Brown,Rural,Fall,Online,BrandA,-1710.6
411.7,265.1,39,35.6,141,16.8,4,Table,Metal,Blue,Rural,Winter,Online,BrandA,13537.2
134,81.5,24,39.2,174,27.1,2,Chair,Wood,Green,Rural,Spring,Online,BrandC,431
451.7,378.1,33,16.3,41,3.3,3,Desk,Glass,Brown,Suburban,Spring,Retail,BrandB,16869.8
292.7,183,18,37.5,93,5.3,4,Sofa,Plastic,Green,Urban,Winter,Retail,BrandA,17021.3
413.4,337.1,28,18.4,159,12.9,4,Bed,Glass,White,Rural,Winter,Retail,BrandC,-1867.4
453.2,388.3,32,14.3,31,3.8,9,Desk,Plastic,Blue,Rural,Summer,Retail,BrandA,15949.6
193.1,130.1,12,32.7,169,17,6,Bed,Glass,Red,Urban,Summer,Online,BrandD,12947.5
99.5,86,48,13.6,159,12,9,Desk,Fabric,Blue,Urban,Summer,Online,BrandA,1657.2
152.6,99.3,42,34.9,25,8.5,4,Chair,Plastic,White,Rural,Summer,Retail,BrandB,6610.1
242.2,214.5,27,11.4,114,5.1,9,Chair,Plastic,Brown,Urban,Summer,Retail,BrandC,9588.7
418.1,224,10,46.4,128,10.1,9,Sofa,Glass,Green,Rural,Summer,Online,BrandD,-7019
437.3,338.9,46,22.5,55,18.2,6,Bed,Metal,White,Rural,Spring,Retail,BrandD,17778.9
53.1,37.1,42,30.3,121,17.3,5,Desk,Glass,Brown,Rural,Winter,Retail,BrandA,-2124.4
279.8,183.3,32,34.5,105,4.9,3,Table,Plastic,Black,Rural,Fall,Retail,BrandB,18754
237.8,179.1,42,24.7,129,3.8,5,Table,Plastic,Green,Rural,Summer,Retail,BrandB,8577.9
150,117.2,26,21.9,80,0.8,3,Sofa,Metal,White,Rural,Spring,Online,BrandA,315.8
103.9,52.2,25,49.8,157,0.4,5,Bed,Wood,Red,Urban,Winter,Retail,BrandA,6822
201.9,114.5,11,43.3,119,26.4,5,Table,Metal,Red,Suburban,Winter,Online,BrandC,4075
474.3,372.4,23,21.5,198,1.4,2,Sofa,Wood,Brown,Suburban,Winter,Retail,BrandC,15241.2
195.4,149.8,34,23.3,51,21.9,9,Sofa,Plastic,Brown,Rural,Summer,Retail,BrandA,14739.4
283.5,251.3,40,11.4,90,26.2,7,Bed,Fabric,Red,Urban,Summer,Online,BrandA,5446.2
366.4,294.7,23,19.6,136,2.9,6,Table,Fabric,Black,Rural,Fall,Online,BrandD,16773.6
213.6,188.1,29,12,21,13.1,5,Table,Glass,Blue,Urban,Summer,Retail,BrandB,14771.7
487.3,380.6,31,21.9,33,28.9,4,Table,Metal,Red,Rural,Winter,Retail,BrandC,6902.8
483.1,299.2,7,38.1,109,25,8,Chair,Metal,Brown,Rural,Winter,Retail,BrandA,-822.8
163.3,88.5,40,45.8,48,14.7,2,Table,Fabric,Brown,Suburban,Spring,Online,BrandA,5808.6
273.8,222.5,33,18.7,128,22.9,8,Desk,Wood,Black,Urban,Spring,Retail,BrandC,5969
185.4,140.5,21,24.2,72,25,1,Chair,Metal,Red,Urban,Fall,Retail,BrandD,11465.2
178.2,92.5,2,48.1,83,10.4,1,Chair,Wood,Black,Suburban,Spring,Online,BrandD,-4000.5
66.6,42.9,18,35.6,52,26.8,3,Chair,Wood,Red,Suburban,Fall,Retail,BrandA,2101.2
324.3,286.3,47,11.7,99,14.1,5,Chair,Wood,Blue,Suburban,Spring,Retail,BrandB,9263.5
276.2,193.4,33,30,123,15.8,6,Sofa,Wood,White,Suburban,Winter,Retail,BrandB,8213.9
73.2,49.3,37,32.7,167,30,4,Desk,Glass,Red,Urban,Summer,Online,BrandA,12603.7
175.4,119.8,34,31.7,44,25.3,7,Bed,Glass,White,Urban,Summer,Retail,BrandC,13569.8
458.7,267.7,20,41.6,195,10.9,7,Table,Fabric,Red,Suburban,Fall,Retail,BrandB,10071.3
157.8,102.2,35,35.3,136,0.3,2,Chair,Glass,Blue,Rural,Summer,Retail,BrandC,8654.8
115.2,74.6,18,35.2,104,18.8,2,Bed,Metal,Brown,Rural,Summer,Retail,BrandC,4041.6
270.3,140.8,46,47.9,149,21.1,2,Sofa,Glass,White,Rural,Spring,Online,BrandC,8286.4
493.5,398.3,24,19.3,145,19.5,2,Bed,Metal,Black,Rural,Winter,Retail,BrandD,19115.1
158.9,105.9,8,33.3,105,29,9,Chair,Metal,Red,Urban,Summer,Retail,BrandB,7500
352.5,292.2,30,17.1,42,25.9,5,Desk,Wood,Brown,Urban,Winter,Retail,BrandD,9008.2
392.7,330,44,16,166,13.5,8,Bed,Fabric,Red,Urban,Spring,Retail,BrandB,13869.1
156.9,91.8,10,41.5,133,1.9,5,Chair,Wood,Black,Rural,Spring,Online,BrandA,780
377.7,288.2,23,23.7,47,14.3,5,Chair,Wood,Blue,Suburban,Summer,Retail,BrandC,9140.3
215.5,148.5,49,31.1,125,20.7,1,Table,Glass,Green,Rural,Summer,Retail,BrandB,8200.9
334.5,285.1,11,14.8,6,18.2,6,Table,Glass,Red,Urban,Spring,Online,BrandB,8706.6
335.1,196.5,2,41.4,196,16.1,4,Desk,Metal,Black,Rural,Spring,Retail,BrandA,2957.1
291.1,224.5,26,22.9,15,14.1,3,Table,Glass,Green,Suburban,Fall,Online,BrandD,1735.4
90.6,67.4,36,25.7,128,8.8,6,Desk,Glass,Red,Suburban,Fall,Retail,BrandB,-2757.9
425.9,263.3,33,38.2,114,8.3,2,Sofa,Plastic,White,Rural,Winter,Online,BrandB,17838.9
194.4,107.8,47,44.5,36,15,8,Sofa,Metal,Brown,Urban,Spring,Online,BrandD,1982
133.9,101.9,13,23.9,164,4.8,1,Table,Metal,Brown,Urban,Winter,Retail,BrandD,-85.8
68.4,54.4,40,20.5,124,10.2,9,Sofa,Plastic,Black,Urban,Spring,Online,BrandB,256.4
315.9,197.8,25,37.4,80,9.7,8,Bed,Metal,White,Rural,Winter,Online,BrandD,937.5
354.9,269,4,24.2,191,17.6,1,Bed,Fabric,Blue,Urban,Fall,Retail,BrandA,2720.6
57.5,37.8,42,34.2,61,2,9,Bed,Fabric,Green,Rural,Spring,Retail,BrandA,1746.2
280.4,220.2,19,21.5,71,24.9,2,Sofa,Plastic,Black,Urban,Spring,Retail,BrandC,813.1
151.9,88.1,18,42,188,16.9,3,Bed,Glass,Red,Suburban,Winter,Retail,BrandB,12699.2
340.3,291.4,37,14.4,124,20.1,2,Desk,Fabric,Brown,Suburban,Winter,Retail,BrandA,-2096.7
128.5,79,30,38.5,160,21.1,8,Chair,Plastic,Red,Urban,Summer,Retail,BrandA,-1275.8
360.9,233.6,19,35.3,65,8.7,2,Table,Fabric,Green,Rural,Summer,Retail,BrandA,3374.1
224,117.2,23,47.7,29,14.1,2,Desk,Wood,White,Urban,Fall,Retail,BrandC,-2366.3
471.5,256.8,16,45.5,19,28.7,1,Bed,Plastic,White,Rural,Spring,Retail,BrandD,16669.7
111.9,79,1,29.4,187,23,7,Chair,Metal,Black,Suburban,Spring,Online,BrandC,11322.9
203.5,123.5,12,39.3,81,29.1,2,Table,Fabric,Black,Rural,Winter,Online,BrandC,-1690.8
101.1,84.3,24,16.6,106,22.4,5,Desk,Metal,White,Urban,Fall,Online,BrandC,8226.2
466.1,235.8,34,49.4,151,5.3,5,Table,Plastic,Black,Suburban,Spring,Online,BrandC,17995.7
444.8,289.9,8,34.8,131,1.9,3,Sofa,Fabric,White,Rural,Fall,Online,BrandB,11770.1
166.1,105.5,18,36.5,36,17.3,3,Bed,Metal,Green,Rural,Summer,Online,BrandB,1935.3
347,176.2,48,49.2,131,10.7,3,Desk,Glass,Black,Suburban,Winter,Online,BrandA,17025.8
417.8,229.7,5,45,76,8.3,6,Desk,Glass,White,Urban,Spring,Retail,BrandC,8928.9
299.8,199.5,26,33.5,88,24.2,4,Chair,Wood,Black,Suburban,Winter,Online,BrandC,12156
288.3,201,30,30.3,145,11,3,Chair,Plastic,Red,Urban,Summer,Online,BrandA,8456.1
158.8,105.1,13,33.8,87,9.5,2,Chair,Metal,Brown,Urban,Fall,Online,BrandD,-2844.4
91.9,65.5,19,28.8,193,25.5,3,Table,Wood,Red,Rural,Fall,Online,BrandB,-2516
453.8,334.9,29,26.2,175,25.4,4,Bed,Plastic,Blue,Urban,Summer,Online,BrandC,571.9
455.2,229.4,3,49.6,32,10.7,6,Table,Glass,White,Urban,Summer,Retail,BrandD,5155.9
334.9,229.6,26,31.4,57,25,4,Bed,Metal,Blue,Suburban,Spring,Online,BrandD,7593.5
202.6,179.4,40,11.5,27,25.5,8,Desk,Fabric,White,Suburban,Spring,Online,BrandC,7480.8
207.1,146.6,12,29.2,34,12.7,3,Table,Glass,Brown,Urban,Spring,Retail,BrandC,2043.8
376.7,290.4,2,22.9,124,2,3,Table,Fabric,Black,Rural,Spring,Online,BrandD,-4978.4
453.7,283.5,11,37.5,137,0.1,3,Table,Fabric,White,Suburban,Spring,Retail,BrandB,6551.4
449.2,363.7,44,19,64,15.7,8,Sofa,Metal,Red,Rural,Fall,Retail,BrandB,19687.8
400.9,324.4,28,19.1,41,10.3,4,Bed,Metal,Black,Suburban,Spring,Retail,BrandC,5726.7
338.9,240.1,18,29.2,84,29.9,1,Bed,Fabric,Brown,Suburban,Summer,Online,BrandC,4133.8
87.9,78.2,13,11,136,23.2,2,Table,Wood,Red,Urban,Summer,Online,BrandA,-2364.2
122.7,67.5,37,45,187,22.8,2,Sofa,Fabric,Black,Suburban,Spring,Retail,BrandA,2426.3
454.4,230.3,22,49.3,110,28.7,3,Table,Fabric,White,Suburban,Summer,Online,BrandB,1454.2
322.9,260.9,12,19.2,14,26.6,6,Bed,Metal,White,Rural,Winter,Online,BrandA,1501.8
54.1,44.6,2,17.7,184,9.6,8,Desk,Plastic,Red,Suburban,Fall,Retail,BrandD,8234.9
95.7,52.4,37,45.2,68,5,1,Sofa,Glass,Green,Suburban,Fall,Retail,BrandD,853.7
348.6,211.3,7,39.4,104,22.4,9,Sofa,Metal,White,Rural,Spring,Online,BrandD,-1510.6
52.3,26.5,26,49.3,149,11.4,1,Table,Wood,Green,Urban,Winter,Retail,BrandD,-1885.6
122.4,75.5,26,38.3,63,14.2,2,Desk,Glass,Black,Urban,Spring,Retail,BrandC,1778.8
296.9,240.3,24,19.1,40,18.9,3,Bed,Metal,Green,Suburban,Spring,Online,BrandD,14740.2
361.4,255.5,12,29.3,70,27.2,7,Chair,Metal,Red,Suburban,Summer,Online,BrandB,10183.7
343.4,219.5,16,36.1,55,12.6,9,Bed,Plastic,Blue,Rural,Fall,Retail,BrandA,4086.3
150.9,97.9,23,35.1,150,23.5,3,Bed,Wood,Blue,Urban,Winter,Online,BrandB,-558.6
370.5,185.4,40,50,24,8.1,8,Desk,Wood,Red,Urban,Summer,Online,BrandC,4821.4
156.8,97.2,9,38,104,20.9,9,Sofa,Metal,Blue,Urban,Fall,Online,BrandA,-3441.2
196.4,149,32,24.1,133,0.1,7,Bed,Plastic,Red,Rural,Fall,Online,BrandA,-3589.9
385.9,343.4,15,11,118,26.2,4,Sofa,Metal,White,Rural,Spring,Online,BrandA,7975.9
342.3,287.2,37,16.1,161,0.9,4,Desk,Fabric,Green,Rural,Winter,Online,BrandD,19228.7
432.2,220.2,13,49.1,190,21.4,4,Desk,Fabric,Blue,Suburban,Spring,Retail,BrandC,2540.5
345.9,297.3,5,14.1,8,1.4,6,Table,Plastic,White,Urban,Summer,Retail,BrandB,3625.1
305.7,248.7,11,18.7,59,8,4,Chair,Metal,Blue,Suburban,Spring,Retail,BrandD,-2350.4
92.2,74.8,10,18.8,124,14.9,5,Desk,Plastic,Black,Suburban,Spring,Retail,BrandA,-8915.4
215.5,147.2,13,31.7,48,12.6,9,Desk,Metal,Red,Rural,Fall,Retail,BrandB,2726.6
169.3,111.6,41,34.1,50,5.8,7,Sofa,Metal,Red,Urban,Fall,Online,BrandB,8460.1
159.8,99.3,46,37.9,187,10,8,Desk,Fabric,White,Suburban,Summer,Online,BrandB,15134.3
487.9,256.8,15,47.4,69,21.8,5,Bed,Glass,Black,Urban,Fall,Retail,BrandC,16036.2
226.9,134.2,42,40.9,36,20.1,5,Table,Wood,Green,Suburban,Fall,Online,BrandD,6223.4
451.4,270.2,7,40.1,30,2.2,7,Table,Wood,Black,Rural,Fall,Retail,BrandC,7652.4
334,231.7,40,30.6,168,22.4,8,Bed,Plastic,Black,Suburban,Spring,Online,BrandA,11940.6
407.7,325.7,28,20.1,61,1.6,9,Desk,Wood,Brown,Rural,Winter,Retail,BrandA,11244.3
276.2,190.4,32,31.1,92,16.3,2,Chair,Fabric,Green,Urban,Summer,Online,BrandB,7211.1
309.6,162,35,47.7,185,7.8,3,Desk,Glass,Green,Suburban,Spring,Retail,BrandB,9266.1
271.6,239.9,15,11.7,13,17.6,2,Table,Metal,Black,Suburban,Summer,Online,BrandB,2846.5
137.9,120.9,48,12.3,163,7.8,7,Chair,Metal,Blue,Rural,Spring,Retail,BrandC,14381.5
375.1,305.4,36,18.6,163,29.6,2,Sofa,Fabric,Brown,Rural,Summer,Online,BrandD,10586.4
176.4,158.1,21,10.4,78,9.3,2,Sofa,Wood,Blue,Urban,Fall,Online,BrandC,12068.5
60.9,43.7,6,28.2,7,7.3,2,Desk,Metal,Black,Rural,Summer,Retail,BrandA,-4152.4
340.5,301.4,1,11.5,153,8.4,4,Desk,Wood,Blue,Urban,Winter,Retail,BrandB,-13851.6
129.7,68.8,4,47,35,26.9,1,Chair,Fabric,Green,Suburban,Summer,Retail,BrandB,-1935.2
473.2,305.8,11,35.4,47,19.1,2,Chair,Metal,Green,Urban,Winter,Retail,BrandC,31.5
479.3,282.8,44,41,84,21.9,3,Desk,Plastic,Blue,Urban,Summer,Retail,BrandA,8997.3
461.7,267,26,42.2,27,27.5,7,Table,Glass,Green,Urban,Fall,Retail,BrandD,15201.3
216.6,120.5,37,44.4,195,27.4,1,Sofa,Wood,Red,Suburban,Summer,Retail,BrandB,-860.9
57,42.7,23,25.1,189,22.2,6,Chair,Wood,Green,Suburban,Spring,Retail,BrandB,3933.5
467.7,380.1,29,18.8,50,5.9,3,Table,Wood,Black,Rural,Fall,Online,BrandA,22830.5
242.7,177.5,21,26.9,103,25.3,3,Desk,Wood,White,Urban,Fall,Online,BrandB,-1942.7
485,271,48,44.1,169,6.1,4,Bed,Fabric,Blue,Suburban,Spring,Online,BrandD,20701.9
483.6,398.7,45,17.6,100,22.3,4,Chair,Fabric,Brown,Urban,Fall,Online,BrandC,23676.5
433.9,327.3,45,24.6,28,20.6,7,Bed,Fabric,Blue,Urban,Fall,Retail,BrandA,13430.9
182.5,119.6,49,34.5,126,22.8,3,Table,Fabric,Green,Urban,Spring,Online,BrandB,8568.6
223.3,171.9,27,23,81,16,8,Sofa,Metal,Green,Suburban,Fall,Online,BrandB,8262
433,261.5,39,39.6,9,19.2,8,Table,Fabric,White,Urban,Fall,Retail,BrandD,14519.5
192.6,122.9,40,36.2,105,28.6,7,Sofa,Metal,White,Urban,Fall,Online,BrandC,3259.6
